item_id,order_id,product_id,quantity,unit_price,discount_percent
1,395,46,2,638.51,35.92
2,6,163,3,23.67,31.39
3,282,182,5,495.2,24.71
4,137,199,6,304.17,24.12
5,407,126,6,571.3,32.94
6,164,172,1,383.3,1.31
7,476,221,1,608.51,23.31
8,161,53,4,673.53,6.37
9,179,27,6,531.07,2.06
10,284,21,2,925.77,21.2
11,147,176,4,551.44,14.56
12,526,143,1,62.07,12.39
13,58,241,5,150.84,17.64
14,124,207,3,58.71,30.24
15,57,10,5,253.94,20.88
16,129,167,1,793.96,29.92
17,147,64,1,198.35,5.86
18,568,237,-3,27.35,35.63
19,46,117,5,103.39,0.67
20,437,168,6,422.27,31.79
21,15,211,4,248.19,30.21
22,592,246,3,690.18,1.33
23,439,57,4,578.06,13.0
24,253,163,2,26.29,2.43
25,323,178,-3,459.56,20.16
26,50,75,4,579.21,33.1
27,295,203,2,272.19,37.2
28,68,163,1,31.19,6.31
29,253,197,4,151.93,23.76
30,419,120,2,546.58,37.56
31,414,119,2,335.46,4.19
32,195,106,1,728.41,39.41
33,224,202,4,489.51,2.93
34,612,107,4,271.12,26.27
35,367,93,5,279.25,37.64
36,577,207,2,73.83,33.47
37,395,17,4,36.11,11.61
38,120,115,-1,508.52,31.04
39,500,26,2,173.34,18.56
40,173,228,3,584.6,1.34
41,307,177,3,460.26,38.33
42,283,8,2,454.97,5.8
43,351,170,3,280.75,31.07
44,153,104,6,438.85,27.64
45,609,191,2,287.85,33.19
46,22,184,2,362.72,0.42
47,203,151,1,592.01,0.62
48,461,168,4,563.99,4.77
49,349,203,2,248.05,15.08
50,222,7,2,590.21,26.24
51,466,48,5,625.32,18.29
52,193,193,1,491.25,17.82
53,327,176,1,768.55,28.98
54,354,55,2,485.56,21.9
55,184,56,6,325.44,16.7
56,201,109,3,414.65,39.03
57,130,118,3,87.27,36.47
58,380,252,4,558.17,33.96
59,227,230,2,531.32,3.85
60,561,181,5,340.05,18.26
61,617,37,1,823.24,17.59
62,274,80,3,524.52,36.32
63,230,158,1,208.67,1.17
64,64,19,3,349.58,21.55
65,249,138,6,800.14,35.77
66,313,259,5,514.45,14.56
67,238,51,1,678.06,27.93
68,380,102,2,627.73,23.12
69,51,216,2,433.71,30.14
70,343,60,1,229.36,30.37
71,396,66,5,136.92,13.41
72,353,186,5,609.28,2.08
73,342,34,4,346.99,38.31
74,123,103,2,332.5,38.0
75,304,105,5,363.66,25.86
76,111,236,1,510.64,32.53
77,191,215,4,676.87,4.04
78,209,186,2,700.95,27.38
79,22,95,2,108.34,29.57
80,232,119,2,403.13,6.81
81,168,32,2,414.6,2.81
82,197,80,2,466.56,24.42
83,145,174,1,331.33,8.96
84,131,99,5,277.33,23.23
85,496,160,1,498.21,37.11
86,223,234,-4,542.77,37.31
87,633,218,4,847.25,29.36
88,32,68,5,417.29,34.95
89,84,249,5,400.84,3.85
90,593,201,3,470.59,11.41
91,96,139,1,111.24,18.4
92,158,175,3,28.78,34.36
93,24,177,1,728.23,8.15
94,434,187,3,168.49,36.21
95,303,155,3,32.33,18.74
96,251,166,6,805.69,17.81
97,215,248,3,210.95,36.53
98,111,257,4,573.95,11.52
99,21,213,2,219.43,27.0
100,179,124,5,219.44,36.85
101,130,182,1,592.31,30.2
102,377,20,2,348.07,24.16
103,352,175,3,40.56,17.0
104,383,106,5,650.73,38.42
105,357,36,6,87.08,16.06
106,242,211,4,168.58,31.7
107,96,73,1,68.13,31.54
108,177,215,1,478.75,23.41
109,358,30,2,309.54,16.37
110,521,146,5,7.42,31.83
111,71,241,4,121.45,11.27
112,166,27,1,509.18,27.9
113,425,178,2,417.81,13.64
114,409,49,4,411.52,14.36
115,220,211,1,248.61,10.99
116,112,213,5,211.94,3.47
117,169,81,6,544.41,2.64
118,104,54,1,688.6,6.88
119,344,206,5,670.85,13.5
120,355,73,1,123.93,17.86
121,616,52,6,630.98,3.34
122,62,69,5,546.9,20.03
123,337,115,6,499.93,9.32
124,311,124,6,165.14,21.38
125,92,3,2,407.3,38.92
126,388,45,1,398.37,9.07
127,76,187,5,206.87,24.19
128,410,59,1,651.64,15.29
129,1,17,4,25.06,37.64
130,553,201,3,439.58,15.46
131,360,109,6,341.33,22.68
132,207,217,3,78.35,2.7
133,86,165,4,546.43,37.97
134,463,82,1,640.96,25.94
135,163,182,1,710.48,31.3
136,508,228,3,322.92,8.7
137,598,44,2,304.53,17.41
138,251,152,3,532.45,0.03
139,363,165,4,536.28,15.21
140,134,101,2,152.89,31.07
141,541,41,3,196.89,22.4
142,37,183,1,514.31,33.31
143,504,126,4,821.71,16.48
144,270,231,1,207.8,11.68
145,182,97,6,511.02,24.13
146,213,28,2,357.52,29.12
147,399,48,1,617.54,14.26
148,566,227,4,256.33,26.34
149,388,29,4,541.88,33.03
150,507,188,5,610.15,28.42
151,344,180,2,247.49,17.73
152,186,208,3,671.47,1.26
153,110,149,1,312.87,14.64
154,313,218,5,880.55,28.04
155,315,77,1,189.72,29.51
156,146,252,3,466.36,22.81
157,514,194,2,118.29,14.02
158,142,33,5,108.52,39.66
159,221,62,4,282.04,27.54
160,148,164,3,264.8,34.14
161,464,188,6,762.44,31.71
162,135,109,3,269.17,9.78
163,271,161,3,669.43,5.56
164,426,22,2,32.88,22.12
165,163,203,6,307.68,22.68
166,240,92,3,13.59,9.99
167,623,84,5,355.48,34.66
168,497,69,6,460.9,21.43
169,605,107,3,234.97,34.05
170,611,39,-4,267.37,0.02
171,205,3,4,580.02,33.69
172,36,20,2,361.88,30.83
173,63,1,2,167.7,38.39
174,157,84,6,441.25,16.04
175,302,116,6,490.33,7.18
176,135,152,4,454.12,32.69
177,394,156,2,127.86,6.66
178,39,1,5,166.69,39.32
179,356,120,2,336.83,22.08
180,298,169,3,772.53,28.35
181,586,206,3,514.34,24.19
182,130,33,4,198.1,10.54
183,588,256,4,97.0,11.8
184,598,125,4,261.04,21.4
185,444,7,3,721.64,29.59
186,553,54,5,436.38,33.11
187,280,108,2,229.35,38.67
188,522,131,5,139.27,17.6
189,79,71,6,48.52,17.2
190,243,212,5,81.46,29.91
191,242,159,5,490.91,25.21
192,357,237,4,37.87,27.61
193,149,246,2,622.8,13.39
194,78,99,5,471.08,7.13
195,624,110,6,522.36,18.03
196,578,21,2,540.12,5.82
197,415,209,5,538.27,7.77
198,460,116,4,602.07,34.91
199,581,230,1,768.08,11.42
200,221,242,2,786.05,27.96
201,308,123,2,84.22,18.59
202,224,55,3,720.29,1.67
203,326,21,2,950.11,23.0
204,533,219,6,281.66,13.55
205,605,186,2,795.75,18.0
206,628,10,5,146.21,0.6
207,112,145,3,10.32,3.63
208,608,13,5,97.17,2.26
209,57,211,3,152.62,4.55
210,602,234,4,657.23,8.65
211,27,133,5,68.5,25.9
212,128,1,2,144.73,12.51
213,355,24,5,537.44,14.15
214,273,24,1,407.05,28.87
215,196,191,6,282.42,10.41
216,505,78,1,503.04,17.7
217,24,123,1,75.73,16.05
218,298,146,1,11.82,0.23
219,405,119,2,268.92,28.84
220,55,145,2,8.81,39.81
221,391,157,3,240.97,0.78
222,67,223,5,244.8,32.85
223,241,153,-2,141.51,25.6
224,479,32,4,464.95,29.36
225,466,150,4,629.67,24.12
226,590,205,4,84.68,26.11
227,43,260,3,307.83,24.4
228,37,248,2,252.43,3.06
229,110,103,3,320.18,2.78
230,537,85,4,514.51,6.77
231,107,185,3,395.97,18.38
232,105,71,5,66.41,16.65
233,202,212,5,96.03,1.05
234,285,117,5,131.74,19.13
235,293,202,5,421.67,16.79
236,321,103,4,269.01,5.95
237,249,33,2,157.37,18.95
238,321,29,1,513.18,26.08
239,203,207,5,62.1,3.55
240,261,258,1,523.54,22.45
241,103,142,6,520.07,17.22
242,487,204,1,69.03,28.94
243,7,87,1,184.42,0.26
244,481,177,4,651.9,20.11
245,176,182,6,815.97,34.23
246,339,226,4,280.58,19.96
247,425,129,4,494.51,13.41
248,250,244,1,120.73,35.07
249,182,254,4,70.93,27.57
250,283,197,5,158.08,38.34
251,594,89,1,215.82,1.85
252,122,114,2,354.52,30.58
253,224,63,5,577.98,3.2
254,386,214,1,30.04,3.16
255,72,17,5,39.21,18.23
256,4,74,1,189.65,25.2
257,248,59,3,739.99,33.37
258,19,196,3,440.96,19.92
259,276,253,5,480.05,0.57
260,376,242,2,533.45,19.39
261,470,220,6,255.71,0.47
262,217,225,1,541.39,13.4
263,6,39,5,306.85,26.84
264,595,35,4,110.21,13.14
265,77,40,5,169.15,31.28
266,171,18,3,568.73,8.17
267,462,64,2,166.08,8.7
268,284,151,5,446.69,25.0
269,569,77,4,216.95,2.59
270,154,234,6,490.06,16.38
271,424,115,6,336.53,31.31
272,169,127,5,757.76,8.43
273,412,144,4,519.87,38.02
274,482,129,6,565.88,30.87
275,74,44,2,367.79,27.88
276,481,17,3,44.64,38.62
277,79,123,2,123.53,4.13
278,88,176,2,478.64,21.23
279,41,257,6,745.45,16.03
280,582,198,4,153.48,38.05
281,295,68,4,433.61,31.74
282,529,69,4,711.69,32.94
283,237,139,3,73.65,31.0
284,113,66,3,240.93,28.03
285,167,193,6,622.34,5.77
286,9,105,3,438.92,34.75
287,266,10,3,204.14,2.38
288,617,60,3,214.64,13.37
289,329,110,3,475.41,15.07
290,543,166,6,508.73,9.51
291,375,53,3,415.12,23.66
292,115,124,6,184.62,24.5
293,504,238,5,406.17,39.15
294,412,211,6,213.83,17.51
295,329,111,1,459.98,10.9
296,413,23,4,322.39,8.15
297,131,243,4,465.53,5.78
298,364,59,6,707.29,8.21
299,598,210,5,215.58,10.25
300,604,186,6,783.3,23.37
301,100,223,2,250.52,17.61
302,568,205,5,146.78,15.41
303,452,208,6,505.75,26.05
304,66,209,1,354.08,7.4
305,480,27,6,784.25,23.2
306,376,98,6,433.72,14.84
307,267,35,5,183.84,37.09
308,405,242,5,455.02,12.76
309,482,176,5,456.55,34.23
310,148,250,4,141.96,1.51
311,296,231,4,197.35,1.7
312,241,245,4,384.05,7.24
313,602,164,6,428.02,14.41
314,147,184,4,378.56,11.03
315,240,113,2,735.38,3.25
316,292,85,-1,592.34,29.37
317,614,90,1,222.72,28.01
318,96,93,5,273.32,38.84
319,226,191,2,202.92,9.97
320,130,140,1,322.01,31.92
321,485,109,2,337.45,14.4
322,402,136,3,416.37,12.11
323,396,95,2,111.48,25.91
324,230,34,6,583.56,25.48
325,213,216,4,459.82,14.47
326,540,181,2,315.96,29.32
327,60,147,2,491.81,18.82
328,139,176,6,758.23,25.12
329,433,101,4,99.94,33.34
330,325,209,1,439.94,6.83
331,445,142,5,514.31,14.37
332,220,121,1,558.29,32.97
333,122,183,3,688.1,22.01
334,38,247,5,501.41,14.69
335,24,228,4,592.51,13.5
336,321,110,5,767.7,7.69
337,476,211,6,143.44,13.81
338,256,186,6,863.43,19.65
339,220,163,4,22.08,11.85
340,350,93,3,279.7,13.06
341,458,63,4,520.69,35.59
342,82,257,4,448.67,12.87
343,538,88,1,492.99,9.41
344,222,141,3,39.56,28.73
345,349,61,1,747.42,25.41
346,133,169,1,667.87,16.96
347,359,15,2,91.59,28.1
348,178,33,3,124.61,28.01
349,237,121,1,677.75,20.63
350,445,163,3,22.89,32.96
351,182,190,6,681.98,8.84
352,105,158,1,210.56,6.15
353,48,14,4,602.51,35.6
354,11,105,6,444.58,10.33
355,633,224,3,673.7,27.22
356,82,37,5,763.31,22.62
357,51,243,1,411.74,9.81
358,475,52,3,638.86,29.15
359,37,58,3,312.94,8.92
360,59,54,4,591.6,15.65
361,326,200,4,27.73,35.8
362,354,188,3,683.34,7.2
363,509,212,1,83.22,28.94
364,379,112,1,344.69,34.45
365,368,215,5,666.58,3.93
366,290,68,4,464.54,39.08
367,584,153,5,189.15,20.67
368,371,236,1,690.72,25.72
369,241,174,4,489.69,10.06
370,510,94,2,489.8,24.24
371,405,100,3,107.9,5.34
372,456,108,-4,235.21,25.36
373,265,46,1,901.34,25.16
374,478,144,3,537.41,6.4
375,425,146,2,9.01,1.48
376,516,170,3,388.88,4.08
377,438,72,5,533.2,23.94
378,304,218,2,728.05,2.23
379,303,148,3,107.09,26.15
380,294,99,1,331.93,5.11
381,405,168,1,360.39,35.15
382,393,160,5,483.38,13.84
383,123,49,-4,344.83,6.48
384,361,73,6,74.45,4.2
385,206,234,3,579.68,6.12
386,374,155,4,46.34,18.63
387,640,224,3,429.16,27.4
388,244,59,3,565.1,30.93
389,598,55,6,720.61,27.13
390,227,86,1,34.99,24.06
391,262,229,3,600.81,35.1
392,581,23,3,366.76,12.35
393,176,26,3,185.99,3.36
394,503,106,6,421.61,8.47
395,471,100,1,100.69,12.22
396,513,171,1,239.25,27.65
397,59,27,1,533.68,19.46
398,438,78,6,494.03,11.21
399,25,236,2,779.98,3.64
400,543,186,6,590.71,32.67
401,181,127,5,583.06,36.17
402,276,173,5,322.74,33.24
403,334,238,5,577.29,24.4
404,34,110,5,715.67,28.51
405,480,176,2,710.26,10.49
406,345,58,6,308.31,10.16
407,513,138,6,821.96,36.66
408,124,229,2,833.65,36.52
409,309,200,6,31.82,34.91
410,136,241,4,194.72,15.86
411,44,68,4,242.15,17.22
412,413,18,1,450.13,8.67
413,363,151,3,609.96,6.61
414,420,41,4,206.97,29.85
415,190,103,5,186.31,15.52
416,240,91,5,448.68,1.21
417,571,253,1,844.84,10.52
418,438,181,5,436.53,0.7
419,303,185,1,291.4,38.74
420,361,43,5,51.02,2.21
421,409,238,1,483.28,17.89
422,550,64,4,135.38,31.02
423,255,37,3,508.14,21.04
424,158,5,1,419.44,20.47
425,95,145,5,8.11,9.91
426,98,128,1,350.34,11.1
427,588,208,3,544.97,19.84
428,491,155,1,47.69,28.27
429,618,9,2,214.26,5.8
430,401,16,3,79.85,28.42
431,574,246,1,597.59,7.14
432,602,191,6,165.47,33.54
433,72,55,4,475.01,0.04
434,126,240,3,614.8,24.7
435,8,129,4,528.08,4.38
436,346,146,1,8.33,12.06
437,197,183,-3,683.54,26.28
438,495,206,6,437.37,34.69
439,157,105,5,368.71,13.16
440,493,237,2,30.48,39.11
441,408,76,4,19.65,1.84
442,267,149,5,311.6,7.01
443,90,22,4,47.79,38.41
444,40,73,5,95.11,25.97
445,282,71,3,45.06,21.41
446,189,151,4,601.52,25.45
447,365,256,3,157.65,22.58
448,250,252,6,528.09,22.05
449,138,77,2,222.99,13.32
450,72,207,2,48.07,8.42
451,86,107,2,287.18,27.93
452,620,64,4,241.96,12.92
453,123,257,4,506.67,7.01
454,248,231,3,149.5,38.12
455,177,184,2,465.79,31.9
456,455,100,6,106.53,7.91
457,473,162,5,139.63,10.7
458,239,173,3,410.7,39.98
459,339,14,6,362.24,32.1
460,399,178,4,526.74,9.86
461,327,19,6,298.46,12.37
