product_id,product_name,category,subcategory,cost_price
1,Kitchen Magazine,Home,Kitchen,114.82
2,Kids New,Clothing,Kids,315.24
3,Wearables Hand,Electronics,Wearables,292.89
4,Learning Rest,Toys,Learning,305.65
5,Furniture Successful,Home,Furniture,206.54
6,Decor Test,Home,Decor,11.43
7,Furniture Outside,Home,Furniture,357.59
8,Fiction Would,Books,Fiction,212.36
9,Action Door,Toys,Action,135.81
10,Action Choice,Toys,Action,121.42
11,Decor City,Home,Decor,96.78
12,Audio Thought,Electronics,Audio,27.13
13,Decor Sister,Home,Decor,50.89
14,Outdoor Kind,Toys,Outdoor,279.75
15,Kitchen Place,Home,Kitchen,56.86
16,Audio Use,Electronics,Audio,36.96
17,Outdoor Happy,Toys,Outdoor,21.37
18,Education But,Books,Education,341.61
19,Furniture Recognize,Home,Furniture,252.75
20,Fiction Safe,Books,Fiction,189.52
21,Women Now,Clothing,Women,443.37
22,Kids Space,Clothing,Kids,26.73
23,Education During,Books,Education,217.71
24,Men Happy,Clothing,Men,352.51
25,Women Agree,Clothing,Women,433.69
26,Education Network,Books,Education,96.47
27,Kids Focus,Clothing,Kids,399.51
28,Women Market,Clothing,Women,164.94
29,Audio Step,Electronics,Audio,303.16
30,Decor Task,Home,Decor,156.38
31,Computers Condition,Electronics,Computers,54.49
32,Action Wide,Toys,Action,211.47
33,Kitchen Discuss,Home,Kitchen,91.41
34,Decor Most,Home,Decor,292.79
35,Kitchen Low,Home,Kitchen,84.2
36,Furniture Effect,Home,Furniture,65.21
37,Decor Record,Home,Decor,382.14
38,Kids Seek,Clothing,Kids,287.64
39,Computers Test,Electronics,Computers,207.16
40,Audio Current,Electronics,Audio,120.0
41,Fiction Threat,Books,Fiction,131.36
42,Kids Seat,Clothing,Kids,26.07
43,Computers Top,Electronics,Computers,45.08
44,Kids Home,Clothing,Kids,245.4
45,Computers Hard,Electronics,Computers,283.62
46,Kitchen Value,Home,Kitchen,440.52
47,Education Dream,Books,Education,336.93
48,Men For,Clothing,Men,305.87
49,Education Discover,Books,Education,195.88
50,Furniture Candidate,Home,Furniture,422.27
51,Outdoor Care,Toys,Outdoor,359.94
52,Action See,Toys,Action,399.69
53,Computers Talk,Electronics,Computers,308.57
54,Action Heavy,Toys,Action,391.08
55,Nonfiction Glass,Books,Nonfiction,388.64
56,Computers Reveal,Electronics,Computers,292.18
57,Kitchen Throughout,Home,Kitchen,309.81
58,Audio Prevent,Electronics,Audio,239.75
59,Kitchen Whose,Home,Kitchen,362.16
60,Men Any,Clothing,Men,139.19
61,Furniture Control,Home,Furniture,370.41
62,Learning Sound,Toys,Learning,181.46
