order_id,customer_id,order_date,status,region_code
1,66,2025-11-19 15:17:00,SHIPPED,LATAM
2,260,2026-01-09 10:49:23,DELIVERED,APAC
3,123,2026-03-15 18:50:23,SHIPPED,EU
4,348,2026-03-09 07:37:25,PLACED,EU
5,299,2025-11-17 16:50:48,PLACED,APAC
6,506,2025-09-03 23:31:18,PLACED,APAC
7,268,2026-02-28 17:21:53,CANCELLED,APAC
8,464,2025-03-25 05:36:08,CANCELLED,US-E
9,286,17-06-2026 09:20:23,PLACED,US-W
10,89,2025-12-01 03:48:39,DELIVERED,LATAM
11,,2026-02-18 13:11:39,PLACED,LATAM
12,504,2026-01-14 12:45:49,RETURNED,EU
13,362,2026-03-13 23:55:05,PLACED,US-W
14,395,2025-03-01 18:34:54,DELIVERED,LATAM
15,196,2025-11-06 11:02:54,PLACED,APAC
16,288,2026-01-29 00:02:32,PLACED,EU
17,123,2025-12-16 07:33:24,DELIVERED,APAC
18,464,2025-08-21 19:54:46,SHIPPED,EU
19,315,2025-05-05 08:05:56,PLACED,US-E
20,277,2026-03-28 05:55:27,RETURNED,LATAM
21,500,2025-03-14 14:54:19,PLACED,APAC
22,14,2025-03-16 02:30:58,DELIVERED,LATAM
23,286,2025-07-11 05:15:02,PLACED,US-E
24,308,2025-10-05 23:12:19,PLACED,LATAM
25,212,2026-05-19 00:47:22,PLACED,EU
26,342,2026-04-29 05:33:14,PLACED,EU
27,335,2026-01-29 04:35:34,SHIPPED,US-E
28,,07-01-2026 19:59:10,PLACED,US-E
29,306,2026-07-15 18:02:06,SHIPPED,US-W
30,398,2025-05-19 15:00:20,CANCELLED,LATAM
31,348,2025-11-15 03:15:43,SHIPPED,LATAM
32,182,2025-12-31 18:34:24,PLACED,EU
33,,2026-06-21 19:08:01,DELIVERED,APAC
34,355,2026-05-17 05:07:51,DELIVERED,LATAM
35,19,2025-05-09 02:46:35,DELIVERED,APAC
36,395,2025-11-02 21:48:07,SHIPPED,EU
37,183,2025-04-22 17:51:37,PLACED,EU
38,237,08-02-2026 20:19:54,DELIVERED,US-E
39,352,2025-10-13 11:27:04,DELIVERED,LATAM
40,176,2025-02-28 09:19:27,SHIPPED,EU
41,349,2026-02-06 03:48:53,DELIVERED,US-W
42,118,2025-10-17 23:58:07,PLACED,APAC
43,239,2026-01-17 11:02:49,SHIPPED,US-E
44,291,2025-06-21 17:31:26,SHIPPED,EU
45,328,2025-05-13 20:28:40,DELIVERED,EU
46,195,2025-12-06 14:50:15,CANCELLED,LATAM
47,89,2025-06-03 22:50:49,DELIVERED,US-E
48,94,2025-09-21 11:40:48,DELIVERED,APAC
49,253,2025-07-15 03:34:51,PLACED,APAC
50,324,2025-12-25 07:57:51,DELIVERED,US-W
51,117,2025-12-16 18:43:43,DELIVERED,LATAM
52,485,2026-02-06 03:55:34,PLACED,US-E
53,190,2025-08-22 21:12:22,SHIPPED,US-E
54,,2025-10-21 19:27:00,SHIPPED,LATAM
55,394,2025-07-16 01:20:03,SHIPPED,US-E
56,281,2026-02-11 07:49:50,SHIPPED,APAC
57,232,2025-03-04 21:50:45,DELIVERED,US-W
58,123,09-07-2026 17:14:48,DELIVERED,US-W
59,416,2026-04-13 14:35:12,DELIVERED,US-E
60,105,2026-01-06 22:37:13,PLACED,US-W
61,347,2026-02-16 12:15:00,SHIPPED,EU
62,158,2025-06-22 12:02:39,PLACED,LATAM
63,90,2026-04-14 03:56:07,SHIPPED,EU
64,200,2025-05-20 14:27:54,DELIVERED,LATAM
65,30,2025-03-10 11:45:21,SHIPPED,US-W
66,,2025-10-07 08:05:56,SHIPPED,APAC
67,399,19-02-2026 07:19:41,SHIPPED,APAC
68,395,2025-06-20 02:26:19,PLACED,APAC
69,247,2026-03-16 06:30:37,SHIPPED,US-W
70,466,2025-03-29 00:55:41,DELIVERED,US-E
