product_id,product_name,category,subcategory,cost_price
1,Kitchen magazine,Home,Kitchen,114.82
2,Kids new,Clothing,Kids,315.24
3,Wearables hand,Electronics,Wearables,292.89
4,Learning rest,Toys,Learning,305.65
5,Furniture successful,Home,Furniture,206.54
6,Decor test,Home,Decor,11.43
7,Furniture outside,Home,Furniture,357.59
8,Fiction would,Books,Fiction,212.36
9,Action door,Toys,Action,135.81
10,  ACTION CHOICE  ,Toys,Action,121.42
11,Decor city,Home,Decor,96.78
12,Audio thought,Electronics,Audio,27.13
13,Decor sister,Home,Decor,50.89
14,Outdoor kind,Toys,Outdoor,279.75
15,  KITCHEN PLACE  ,Home,Kitchen,56.86
16,Audio use,Electronics,Audio,36.96
17,Outdoor happy,Toys,Outdoor,21.37
18,Education but,Books,Education,341.61
19,Furniture recognize,Home,Furniture,252.75
20,Fiction safe,Books,Fiction,189.52
21,Women now,Clothing,Women,443.37
22,Kids space,Clothing,Kids,26.73
23,Education during,Books,Education,217.71
24,Men happy,Clothing,Men,352.51
25,Women agree,Clothing,Women,433.69
26,Education network,Books,Education,96.47
27,Kids focus,Clothing,Kids,399.51
28,Women market,Clothing,Women,164.94
29,Audio step,Electronics,Audio,303.16
30,Decor task,Home,Decor,156.38
31,Computers condition,Electronics,Computers,54.49
32,Action wide,Toys,Action,211.47
33,Kitchen discuss,Home,Kitchen,91.41
34,  DECOR MOST  ,Home,Decor,292.79
35,Kitchen low,Home,Kitchen,84.2
36,Furniture Effect  ,Home,Furniture,65.21
37,Decor Record  ,Home,Decor,382.14
38,Kids seek,Clothing,Kids,287.64
39,Computers test,Electronics,Computers,207.16
40,Audio current,Electronics,Audio,120.0
41,Fiction threat,Books,Fiction,131.36
42,Kids seat,Clothing,Kids,26.07
43,Computers top,Electronics,Computers,45.08
44,Kids home,Clothing,Kids,245.4
45,Computers hard,Electronics,Computers,283.62
46,Kitchen value,Home,Kitchen,440.52
47,Education dream,Books,Education,336.93
48,Men for,Clothing,Men,305.87
49,Education discover,Books,Education,195.88
50,Furniture candidate,Home,Furniture,422.27
51,Outdoor care,Toys,Outdoor,359.94
52,Action see,Toys,Action,399.69
53,Computers talk,Electronics,Computers,308.57
54,Action heavy,Toys,Action,391.08
55,Nonfiction Glass  ,Books,Nonfiction,388.64
56,  COMPUTERS REVEAL  ,Electronics,Computers,292.18
57,Kitchen throughout,Home,Kitchen,309.81
58,Audio prevent,Electronics,Audio,239.75
59,Kitchen whose,Home,Kitchen,362.16
60,Men any,Clothing,Men,139.19
61,Furniture control,Home,Furniture,370.41
62,Learning sound,Toys,Learning,181.46
63,Kitchen catch,Home,Kitchen,333.61
